speaker	text	nullCopula	personNumberAgreement	multipleNegators	existentialItDEY	perfectDone	remotePastBIN	habitualBe
S:	My name is Donald Sanchez, and I am interviewing Dr. Isaac Jones at the Alachua County Headquarters Library on June 5th, 2010.							
S:	All right, Dr. Jones.							
S:	First, it's nice to meet you.							
J:	My pleasure.							
S:	First, I'd like to get a little background history on you: where you were born, your parents, your family, stuff like that.							
J:	Okay.							
J:	I was born in Gainesville.							
J:	Attended the elementary schools here: Williams Elementary, Lincoln High School.							
J:	Went to the military.							
J:	Had an opportunity to play in Army band, but I did not.							
J:	I chose to go to the Air Force.							
J:	Was going to school at Howard University, I was in the military.							
J:	Got out of the Air Force, came back, went to the University of Florida and got my bachelor's, and master's and specialist.							
J:	Bachelor's in Physical Education, master's and specialist in Counseling, and PhD in Counseling/Psychology at the University of Maryland.							
J:	So.							
S:	University of what?							
J:	Maryland.							
S:	Maryland?							
J:	Yeah.							
J:	Okay, so came back here, worked at Santa Fe Community College—							
J:	oh actually, started working at the University of Florida for about three years, working in the dorms as a dorm supervisor.							
J:	And worked in public schools for three years.							
J:	Did some coaching of basketball, football, and baseball.							
J:	Then moved on to Santa Fe Community College, and I was involved in the community ed program, which was initially all the non-credit courses for Alachua County.							
J:	That was in conjunction with the public school system.							
J:	Where we had our classes for people, just about everything you could imagine from wine tasting, to how to apply for loans, to arm chair travel, going around the world in in a hundred-eighty days, computers, literacy, how to study; the whole nine yards.							
J:	And from there, went on and was director of three federally-funded programs, which was Upward Bound, Student Support Services, and Talent Search.							
J:	And married, have two kids; been married for forty years.							
S:	Congratulations.							
J:	Thank you.							
S:	And now what's your wife's name?							
J:	J-E-A-N-N-E-T-T-E							
S:	And what are your children's names?							
J:	My daughter's name is Jocelyn, Jocelyn Ann Jones, and my son is D-A-R-I-A-N Jones.							
S:	And how do you spell Jocelyn?							
J:	J-O-C-E-L-Y-N							
S:	Okay.							
S:	Now, you were born in Gainesville, you said?							
J:	Yes, I was.							
S:	Now, how about your parents?							
J:	My parents were born—my dad was born in Georgia, and my mom was born in Florida, up near Hawthorne.							
S:	Okay.							
S:	What was your father's name?							
J:	Clifford Jones.							
S:	And how about your mother?							
J:	M-A-M-I-E							
S:	And what's her maiden name?							
J:	Fleming.							
S:	Fleming, okay.							
S:	And how did they get to Gainesville?							
J:	My dad at a very young age—back at that time, our kids were sort of mobile.							
J:	So he actually did some, I guess you'd call it, catching the trains, and going different places, and working, and ended up in Florida doing farm work, and working on the railroad, and stuff like that.							
J:	And my mom was pretty much a domestic worker for probably twenty years, and then she was just a housewife that did ironing for doctors and lawyers, and stuff like that.							
S:	Okay.							
S:	Now, what was it like for you growing up in Florida during that time period?							
J:	Well, it was—how shall I explain this?							
J:	From the standpoint of being in our own community, you know, life just went on.							
J:	It was no big deal.							
J:	We participated with other Black kids and families, and stuff like that.							
J:	Was segregation in the public schools.							
J:	We went to Lincoln High School, Williams Elementary, and at that time we did not have—that was the period in which we rode in back of the bus, had to ride in the back of the bus.							
J:	There were separate water fountains.							
J:	And being young—you know, like, six, seven, eight—it really didn't strike me that much.							
J:	As I became older, and I learned feelings and thoughts of older individuals and adults, and as I got older, it was a concern, and a problem, and that kind of thing.							
J:	Went through many, many episodes and periods where there was just outright, blatant racism.							
J:	I had to study out of books that were six or seven years old.							
J:	They were passed from GHS to Lincoln High School.							
J:	So overall, it was a very segregated society, and one in which there was a struggle for economic survival.							
J:	In the country for African Americans, there were difficult times in registering to vote.							
J:	Just a lot of those segregation in terms of hotel accommodations, and stuff like that—eating establishments.							
J:	I came up in that area where that was just non- existent.							
J:	And the latter part of my life, things changed with the Civil Rights Bill and that kind of thing.							
J:	But that's pretty much the way it was.							
J:	If you can get a picture of that, you can imagine what the condition, being what it was, how difficult it must have been for a lot of individuals.							
S:	Yes, sir.							
S:	So now, that was Gainesville, where you grew up at?							
S:	And that's what it was like here?							
J:	Yeah.							
S:	And when you say your own community, you mean the Black community?							
J:	Yeah.							
J:	When I say as a small child, you really, you're interested in just playing and getting along.							
J:	So you didn't see, you didn't really think about it that much.							
J:	When you became an adult and you had to drink out of this fountain, or you were traveling and you couldn't stay in this hotel, you couldn't eat here, et cetera, then it began to become a problem and an issue, that kind of thing.							
J:	Now, law enforcement, it was terrible.							
J:	So, all of those issues we dealt with.							
S:	So, law enforcement didn't really help the Black community much?							
J:	No.							
J:	You really did not feel that law enforcement was there to really help.							
J:	It was that kind of attitude, you know?							
J:	Sort of, people that didn't deserve a lot of amenities and stuff like that.							
J:	Yeah.							
S:	So, now growing up, you're in elementary school.							
S:	You said it didn't really impact you that much, the segregation.							
S:	What age would you say you really started thinking about it, in terms of having a negative effect on you?							
J:	High school.							
J:	High school, when you begin to realize that there was a difference.							
J:	Why did you have to ride in the back of the bus?							
J:	Or, why couldn't you eat in the restaurant?							
J:	Why'd you have to go around back to get a hamburger?							
J:	That's the time that it really became a conscious entity in your life, and you began to resent it.							
J:	You began to not trust White society, because of what you've seen and the way that you've been treated.							
J:	Things like my brother going off to fight in the Korean War, and coming back with posttraumatic syndrome.							
J:	And come back to Gainesville and nothing has changed.							
J:	So those are the kind of issues that we dealt with here, but I'm sure that was pervasive over the country.							
S:	Now, how was your experience at Lincoln?							
J:	Experience at Lincoln was—the books.							
J:	Outdated books that had been used five, six years by GHS							
J:	Then they were sent to Lincoln.							
J:	The fact that we did not have the same facilities, in terms of laboratory science equipment, stuff like that.							
J:	The fact that some of the teachers may not have been the best teachers at the time.							
J:	Those are the kinds of things that stands out in my mind.							
J:	The fact that there was a statewide test that—of course, we could not go to the University of Florida at that time.							
J:	I think it was, like, somewhere in between 1955 and 1960, I think, that the first Black entered the University of Florida.							
J:	So you can see it hasn't been that long.							
J:	But things like the University of Florida test that they gave to eleventh and twelfth graders, we come to find out that kids at GHS had been proctored the test daily, for some time.							
J:	And we would get it cold turkey, never knowing what to expect.							
J:	So, consequently, our scores were lower.							
J:	And it made us feel stupid, simply because we did not do as well on that test.							
J:	And we saw it for the first time the day of, where—just like the comprehensive tests that they give the students now, they proctor them.							
J:	We never had that opportunity.							
J:	So, when they compared the scores, they were quite different.							
J:	And things like that has a lasting effect, because at the time it makes you feel that you're not as good, but you don't know how, and you were not told what had happened.							
J:	You learned this many years later.							
J:	That was the thing, and I think that was pervasive, is that those kinds of things where you had to sit in the back of the bus, or get served out of a back window, over the years and through history, it has a tendency to make you feel less capable.							
