speaker	text	nullCopula	personNumberAgreement	multipleNegators	existentialItDEY	perfectDone	remotePastBIN	habitualBe
L:	So, okay are we ready to start?							
L:	Yes?							
S:	Okay.							
L:	My name is Lauren Leib—this is for the recorder.							
L:	I'm here with Ms. Margaret Sharpe, in her home.							
L:	It's June 16, 2010.							
L:	So I'm just going to ask you some questions.							
S:	Okay.							
L:	All right.							
L:	Are you okay?							
S:	Yes, I'm fine.							
L:	It's the oral consent!							
S:	Yes.							
L:	Great, well let's begin.							
L:	So starting off, what was your early childhood like?							
L:	Did you grow up in Gainesville?							
S:	No, I grew up about ten miles from here, partly in Rochelle.							
L:	Rochelle.							
L:	Was that a small town?							
S:	Yes, it was just a little country place.							
S:	Part of it.							
S:	And let's see, sixth, seventh, and eighth grade I went to Rochelle Elementary.							
L:	Rochelle?							
S:	Mmhm, but first through fifth grade, going into sixth, I went to Dillard in Ft. Lauderdale.							
L:	Oh, Ft. Lauderdale!							
L:	Where were you born?							
S:	I was born in Rochelle.							
L:	Rochelle.							
L:	And then you moved down to Ft.							
L:	Lauderdale for a little bit?							
S:	Yeah, with my grandmother.							
L:	Your grandmother?							
S:	My grandmother raised me, and she lived there, and she was working for the airbase down there.							
L:	The airbase?							
L:	What was her job?							
S:	She was like, I guess one of the maids, you know, that kept things good.							
S:	I'm not really sure.							
S:	I never really asked.							
S:	But I'm sure that was some part of what she was doing.							
L:	Well, you moved with your grandmother when you were in first grade down to Ft. Lauderdale?							
L:	Why did you—?							
S:	Move down there?							
S:	Because, well I was left in Rochelle, and then my grandmother moved to Ft. Lauderdale.							
S:	And while I was in Rochelle, I was with this aunt and uncle, that aunt and uncle, and I was with another family.							
S:	They wasn't my aunt and uncle, but we all called her Momma Hattie and her husband Uncle Joe.							
S:	So, between the three; so my grandmother just got tired of it, and she decided to move me to Ft. Lauderdale.							
S:	So, she did.							
L:	So did you have any siblings?							
S:	One.							
L:	One sibling.							
L:	And did she move—your sister?							
S:	Yeah, she finally—we left her in Rochelle, but then my grandmother decided she didn't wanted us separated.							
S:	So she was there, too.							
L:	Kind of keep the family together?							
S:	Yup, we all came back.							
L:	What was your sister's name?							
S:	Agnes Cooper Scott.							
L:	Do you mind I asking—were your parents, did they—?							
S:	Okay, well my mother, she and my dad was married.							
S:	And then, he was working on what they call the section cars.							
S:	I guess he did the cooking or something for the people that worked on the railroad.							
S:	And after I was nine months old, he gave me to my grandmother.							
S:	So, my mother told me that she tried to take my sister and myself, but my grandmother wouldn't let us go.							
S:	So she just went on and went her way, and then we was left there.							
S:	So my sister stayed with her dad's mother, and I was with different other people.							
S:	So, finally my grandmother decided to put both of us together, and so that's what happened.							
S:	We both lived together until she had to move back to Rochelle to take care of her father.							
S:	So that's when we moved back to Rochelle.							
S:	And I went to school sixth, seventh, eighth grade.							
L:	Oh, okay.							
L:	So when did you first attend Lincoln High School?							
S:	Ninth grade.							
L:	Ninth grade?							
S:	Uh-huh, the term of 46-47.							
L:	So you went from 1946 to 1947?							
S:	That was the first year.							
L:	Oh, okay!							
L:	The first school year.							
S:	That was the first term.							
S:	Ninth grade.							
