speaker	text	nullCopula	personNumberAgreement	multipleNegators	existentialItDEY	perfectDone	remotePastBIN	habitualBe
W:	Okay, this is Scott Wood.							
W:	I'm sitting in the home of Bernard Hicks in Northeast Gainesville.							
W:	And, how are you doing today, Mr. Hicks?							
H:	Very well.							
W:	Okay.							
W:	So, I guess the first question I'll just ask you is, tell me a little bit about your background, your family, if you had brothers and sisters growing up.							
H:	Yeah, I was born in a little place outside of Gainesville called Santa Fe, Florida, which is on the other side of Lacrosse; it's about maybe thirteen miles from here.							
H:	Started the school in Alachua, Florida, at a school called Alachua Training Center.							
H:	Transferred there after a couple months to Lincoln Elementary School.							
H:	My brother and I enrolled at Lincoln Elementary School, and I was there until I graduated from the sixth grade going on to Lincoln High School.							
H:	I entered Lincoln in the seventh grade, and that was where the joy of my life begins, being at Lincoln High School.							
H:	From going to high school there, I joined the band.							
H:	The teachers were good teachers, teachers that were parents away from home.							
H:	People that cared about you and your learning, who understood your culture, your background.							
H:	And Lincoln High School taught me a lot as far as life experiences are concerned, as well as the vocational and the academics.							
H:	Lincoln was that type of school.							
H:	The administration of Lincoln was always open to new ideas and better ideas to educate us.							
H:	Any other thing you want to know about me?							
H:	Just ask me some questions, and I can give you some answers.							
W:	What was home life like for you?							
H:	Home life?							
W:	Yeah, growing up as a kid.							
H:	Growing up as a kid?							
H:	My, I grew up under the parenthood of my grandparents.							
H:	My grandparents actually raised me.							
H:	We moved into this house in 1953.							
H:	December the 17th, 1953.							
H:	I ran this neighborhood, up and down these streets, during the summertime.							
H:	Didn't do much of that during the wintertime, because my grandmother was the type of person that believed in you staying at home, studying, that you could make good grades.							
H:	Stuff like that.							
H:	I have one brother who is two years older than I am, and he also went to Lincoln.							
H:	That's about it.							
H:	I went to church over here at Mount Hermon Baptist Church; I grew up in that church.							
W:	Right next door.							
H:	Mmhm, next door.							
H:	Before that church was constructed, there was a church across the street called Mount Zion Baptist Church, which no longer stand there.							
H:	So I had—so, put it like this: I remember two different churches that I grew up in.							
H:	Had good youth departments.							
H:	Lot of my friends went to church there, as well as my schoolmates.							
W:	What was the neighborhood like?							
H:	This was called Old Virginia Avenue.							
H:	This is the Virginia Avenue neighborhood.							
H:	Court Quarters is right down the street.							
H:	A lot of the people that lived in Court Quarters were relatives of mine.							
H:	So.							
H:	At one time, the park that's across the ditch was not integrated, and we couldn't play in the park.							
H:	So, we had to make our own park.							
H:	And our park was our backyard, and the open field across from the Gainesville Shopping Center, that we could play softball and football.							
H:	And the basketball court was our backyard.							
W:	So the park across the street, you couldn't go because it was for Whites only?							
H:	Right, mmhm.							
H:	For Whites only.							
W:	What—did you encounter any other kind of—?							
H:	Well, sometime we were determined to go over there and play, and we would be chased away—not by our peers, it was always adults that chased us away.							
H:	No kids.							
W:	Just the adults, they didn't ever call the police to get you out of there?							
H:	Never called the police.							
H:	They might've made threats and, you know, charged towards you, and stuff like that.							
W:	What was it like growing up in a segregated society in Gainesville in the—?							
H:	It didn't bother me because before total integration came about, our communities raised their own children.							
H:	And in a lot of cases we raised our own food, and there wasn't a need for actually going to some of the White establishments, you know, for things.							
H:	You only went because there were necessities and things that you really, really need, like groceries.							
H:	Stuff like that.							
H:	Now, as far as going to clothing stores and stuff like that, my grandmother made all our clothes.							
H:	So, as far as clothing was concerned, we never had to, like, go to the stores for clothes.							
H:	She made trousers, shirts, coats; she did the whole works and things.							
W:	So did you ever feel like you were missing out on anything?							
H:	No, not really.							
H:	That's why before integration came about in the schools, it did not bother me.							
H:	I always just—well, some things did bother me.							
H:	Books, not being able to have new books.							
H:	Knowing that books had to be new at one time, you know.							
H:	The hand-me books, that had messages to them in those books that was directed to you—directed to us.							
H:	One thing that I will never forget: we used to go to the University of Florida to sell Cokes and Pepsi colas.							
H:	And this particular game, the Gators lost to Miami 3-0.							
H:	And the students were kind of like upset.							
H:	And I was caught with a tray of sodas, and I went out of the gate to sell my sodas to get my little profit, two dollars and forty cent, back.							
H:	And I reached over to get a soda, and some students surrounded me, and started kicking and spitting on me, and calling me all sorts of names.							
H:	That's why I'm not a Gator today.							
H:	I ran from— out of fear I ran from in front of the entrance of the stadium, all the way to 5th Avenue.							
H:	And, as a matter of fact, I think—							
H:	yeah,							
H:	I was a senior that year.							
H:	And I was working in order to be able to afford my class ring, graduation invitations, and my cap and gown and stuff like that.							
H:	That was an experience.							
W:	How long did you work at the stadium selling Cokes?							
H:	I did that, you know, during football seasons.							
H:	I think I started, might've started in about maybe the 9th grade.							
H:	It was a hassle doing it, because a lot of times you would pass sodas down, you didn't get your money back.							
H:	You know.							
W:	Especially when the students are drinking.							
H:	You might have been walking, you might have been going up the steps, and somebody intentionally put they foot out, you know, to trip you.							
H:	And that was only because you were Black.							
H:	One thing that I could go back to that I like to talk about, too, is the fact that out in Lincoln Elementary School, I was put in a drill team called the Flossie McLendon Memorial Drill—well it wasn't "memorial" then.							
H:	It was A Quinn Jones Drill Team, and it was led by a lady named Flossie McLendon.							
H:	And in 1957, I marched Gator Parade.							
H:	And going down the street, we were called all sorts of names, you know, jungle bunnies, niggers, that kind of stuff like that.							
