Speaker	Sentence
JW:	My name is Marna Weston.
MW:	My name is Juanita Scott.
JW:	"Nice to meet you,"""
JW:	Missus Scott.
MW:	Nice to meet you.
JW:	I am a graduate student at the University of Florida and I’m working on my doctorate in agriculture.
MW:	Okay.
JW:	"However,"""
JW:	I also work as the coordinator of the African American History Project at the University of Florida.
MW:	"Oh,"""
MW:	okay.
MW:	So we’re trying to gather information about the history of Taylor County and people of color that lived here.
MW:	And um this is how I’ve come to be you know at this table today.
JW:	"Oh,"""
JW:	okay.
JW:	What can I add to it?
JW:	"Well,"""
JW:	Um any memories that you have of uh growing up.
JW:	I’d like to talk to you a little bit about your earliest memories and your family and anything that you would like to talk about after that.
JW:	"""Your education,"""
JW:	"""Uh your children,"""
JW:	Your um what it’s like to live here.
MW:	Oh.
MW:	"Why you live here instead of somewhere else,"""
MW:	Why
JW:	because we all have the choice to live in other places if we choose to.
MW:	We was born out there in that country.
MW:	She was born after daddy built their pen.
MW:	But I was out there in that graveyard.
MW:	Before daddy come home pissing drunk.
MW:	That’s where I was born.
R:	I was born over there?
R:	You was born in that house over there.
R:	"""Edwin was born in that house over there,"""
R:	so was Vearl.
R:	So this is new information for you today.
R:	"That part,"""
R:	I didn’t know I didn't know where I was born.
R:	You didn’t?
R:	Well I was there the oldest doing all the work
JW:	You remember the day she was born?
R:	Yes.
R:	"""I had to,"""
R:	momma had to have help.
R:	I was a big old girl then.
R:	What was that like?
R:	So you were a midwife.
MW:	"I wasn’t no midwife,"""
MW:	now.
JW:	No.
R:	I was the oldest daughter.
R:	"Okay,"""
R:	so you were just helping.
R:	"Yeah,"""
R:	I was just over there washing dishes standing on a block And doing things to help Mama.
R:	Yeah.
R:	"""I thought Juanita,"""
R:	I thought you knew you was born over there.
R:	In that room right there.
MW:	I never given it a thought.
LS:	Vearl was born the next year.
LS:	I missed my grade.
LS:	And I did all that crying.
LS:	"Was there a midwife present,"""
LS:	or who helped deliver your sister?
LS:	"Oh uh,"""
LS:	"""Jessie Tyson,"""
LS:	she delivered White and Black.
MW:	Jessie Tyson.
MW:	"Yeah,"""
MW:	she’s a Black woman.
MW:	"""Well,"""
MW:	she just went around doing all that thing.
R:	"Did she live close to here,"""
R:	or was it a special trip to have her come over and deliver your sister that day?
