Speaker	Sentence
C:	"""This is Irene Cardozo and I’m interviewing Missus Patricia Burnett in her home on June 2,"""
C:	2010
C:	"""All right,"""
C:	"""Missus Burnett,"""
C:	where were you born?
C:	I was born right here in Gainesville.
C:	"""Gainesville,"""
C:	Florida.
C:	What year did you graduate from Lincoln High?
C:	1966
C:	66
C:	"""Ok,"""
C:	so that was three years before the integration took place?
C:	"""Yes,"""
C:	uh-huh.
C:	And how was it growing up here in Gainesville in the 1960s?
C:	Well I did have a little something to relate it to because I was able to travel to South Florida.
C:	"""Well,"""
C:	"""it was,"""
C:	"""it was,"""
C:	it was life.
C:	It was good.
C:	"""Um back in those days,"""
C:	no matter what the situation economic or whatever children didn’t deal with it.
C:	"""It was not,"""
C:	"""you know,"""
C:	common knowledge of anything.
C:	It was just that we had a certain way of life and that’s the way we lived.
C:	And not it was strange or different from anything else because that was all we knew.
C:	"""And as far when you were growing up,"""
C:	what was the thing to do for fun?
C:	What did you and your friends enjoy doing for fun?
C:	"""Well during the young years,"""
C:	"""younger,"""
C:	when we were much younger we playing outside pick-up games.
C:	"""We could-if two people got together,"""
C:	that was a game.
C:	Four people—that was a big game.
C:	"""You know but,"""
C:	"""we played outside,"""
C:	"""we got older we were able to go to sport activities and go to dances,"""
C:	things like that.
C:	"""We were told that at Lincoln High they taught dating etiquette classes,"""
C:	as far as how to behave around boys and stuff.
C:	Uh-huh.
C:	What did you pick up from that?
C:	"""I remember especially my senior year,"""
C:	we had Modern Family Living.
C:	"""Because back then we had home economics where they taught you how to cook,"""
C:	"""to sew,"""
C:	"""clean house,"""
C:	"""set a table,"""
C:	"""those kinds of things,"""
C:	and they taught you etiquette.
C:	"""Um then as you became older and more groomed,"""
C:	"""you were taught the modern family class was how to become a young lady,"""
C:	and how-things not to do.
C:	"""The do’s and don’ts of a young lady,"""
C:	in my case.
C:	And then for the guys were young men.
C:	"""So,"""
C:	"""we were taught to abstain,"""
C:	"""we were taught to—well,"""
C:	drugs were not introduced at that time out here in Gainesville.
C:	And alcohol wasn’t a big deal.
C:	"""If somebody had a beer,"""
C:	that was it.
C:	And that-it was the highlight of the evening.
C:	"""Usually it was hot,"""
C:	so.
C:	Things haven’t changed.
C:	What were some of your favorite school subjects when you were a kid?
C:	Science
C:	Science
C:	Science.
C:	"""Math followed,"""
C:	but I liked science.
C:	And what may be made you like science?
C:	I don’t know.
C:	"""I don’t know,"""
C:	"""I just,"""
C:	"""I just,"""
C:	"""I was more curious about that,"""
C:	and wanted to pursue something in the science field.
C:	"""I,"""
C:	"""of course,"""
C:	"""had every girl’s dream,"""
C:	I wanted to be a nurse.
C:	"""You either wanted to be a nurse or a teacher you know back then because they were respected in the community,"""
C:	"""and that was a big thing,"""
C:	we had community back then.
C:	"""And so I didn’t want to teach necessarily,"""
C:	"""But I wanted I wanted to be a nurse because like I was growing up my grandmother was ill,"""
C:	"""I had a lot of ill relatives in the family,"""
C:	"""you know,"""
C:	"""so it was like,"""
C:	"""if you got training,"""
C:	"""you know,"""
C:	but then you thought you don’t think about mortality.
C:	"""So then later on,"""
C:	"""you know,"""
C:	"""when people started passing on,"""
C:	it kind of changed things for me.
C:	And what do you do for a living now?
C:	"""Well,"""
C:	I’m retired from the University of Florida.
C:	I was a lab manager at a research lab.
C:	Oh really?
C:	So I was able to pursue something in the sciences.
C:	"""And now I’m at a school,"""
C:	"""I’m at Lincoln,"""
C:	"""I'm not at Lincoln,"""
C:	I’m at Duval Elementary School.
C:	"""And I started in the classroom as an aide,"""
C:	this is after my first retirement.
C:	"""And I moved up to the office,"""
C:	and I’m a senior clerical on the front desk.
C:	"""When I retired from the University,"""
C:	"""I said I’d be a greeter at Walmart,"""
C:	but I’m a greeter at Duval.
C:	So.
C:	And what was your first job?
C:	My first job was babysitting.
C:	Babysitting
C:	Uh-huh.
C:	And I babysat for one of our instructors at school.
C:	And that was quite rewarding.
C:	And how old were you?
C:	I was Sixteen.
C:	"""Um as far as the community,"""
C:	how close was it?
C:	Like interactions?
C:	"""Oh,"""
C:	very close.
C:	Very close-knit.
C:	"""We,"""
C:	when someone was ill in the neighborhood—because everybody didn’t work outside the home—those that stayed in prepared meals for the people that had to and had a sick relative or something.
C:	And they looked out for each other.
C:	"""We looked out for each other’s children,"""
C:	and for the welfare of our neighbors.
C:	"""We knew all our neighbors,"""
C:	now we don’t.
C:	"""And even like when we moved up to high school,"""
C:	"""when we had functions at Lincoln,"""
C:	"""like our band,"""
C:	"""what would they have,"""
C:	"""choral—not contest,"""
C:	"""but,"""
C:	"""what I’m trying to say is,"""
C:	"""well,"""
C:	"""When the bands would come together and would compete,"""
C:	and we had the choral type things too.
C:	"""Well,"""
C:	"""our kids couldn’t really go to hotels to stay,"""
C:	"""so neighbors would open up their homes,"""
C:	"""and kids would come from Palatka,"""
C:	"""Starke,"""
C:	"""or wherever,"""
C:	West Palm Beach even you know would come up here even and families would open up their homes.
C:	And they would stay with students from Lincoln.
C:	That’s nice.
C:	Uh-huh.
C:	"""Let’s talk a bit about your family here,"""
C:	siblings?
C:	I had two siblings growing up—two sisters—one that’s now deceased.
C:	My oldest sister lives in Tallahassee.
C:	And she became a teacher.
C:	Teacher?
C:	"""Yes,"""
C:	a math teacher.
C:	"""Are you married,"""
C:	or?
C:	I’m divorced.
C:	Did you have any kids?
C:	"""Yes,"""
C:	I have two sons.
C:	Tell me about them a little bit.
C:	"""Well,"""
C:	the oldest is here in Gainesville.
C:	And he works over at Shands in the Bone Marrow Transplant Unit.
C:	And the younger one graduated from Florida A&M in Tallahassee and he lives in Atlanta.
C:	Oh that's very nice. 
C:	Mhm. 
C:	"""Out of all the jobs you’ve had,"""
C:	which one has been your favorite thus far?
C:	"""Well,"""
C:	I don’t know.
C:	"""I’ve had two major jobs,"""
C:	"""well,"""
C:	"""I worked at a department store,"""
C:	but that wasn’t a “job”.
C:	"""But I enjoyed the one at the University because,"""
C:	"""like I said,"""
C:	it involved the sciences and I enjoy that.
C:	"""But then when I changed,"""
C:	I totally changed;
C:	now I’m with children.
C:	And I think how how blessed I am because I get all—I get enough.
C:	"""I get enough love,"""
C:	"""I get enough laughs,"""
C:	"""I get enough in the days run at school,"""
C:	"""these little kids that when they light up,"""
C:	"""you know,"""
C:	"""and,"""
C:	“Hey Missus Burnett” and they come and want to give me a hug.
C:	"""And that is rewarding in itself,"""
C:	you know.
C:	"""So,"""
C:	"""on two different levels,"""
C:	"""I’ve just enjoyed,"""
C:	"""well,"""
C:	I’ve enjoyed my journey in this life so.
C:	Those two I can say that I’ve really enjoyed.
C:	You mentioned choir.
C:	"""Have you done that for a long time,"""
C:	since high school?
C:	Singing in a choir?
C:	Uh-huh.
C:	"""Oh listen,"""
C:	"""I didn’t sing at school uh-uh,"""
C:	I was a cheerleader.
C:	Oh.
C:	"""I wanted to be in the band because Lincoln had this awesome band,"""
C:	"""well,"""
C:	it was all we had.
C:	"""And when it was Homecoming,"""
C:	"""we wouldn’t have school that day,"""
C:	"""we’d go to the parade and they’d be downtown,"""
C:	"""and they were high steppers,"""
C:	"""I mean,"""
C:	"""proud,"""
C:	"""I mean,"""
C:	"""you could,"""
C:	"""just ooze pride,"""
C:	you know what I mean?
C:	And so I wanted to bepart of that.
C:	"""And I wanted to play the bells because I found that they had the notes on them,"""
C:	but then I found out you had to read the notes in order to play the notes that were written on the instruments.
C:	"""I didn’t do that too well,"""
C:	"""so when the band leader asked me if I could sing,"""
C:	"""and I told him “no”,"""
C:	"""he said usually people that could sing it’s easier to pick up on reading notes,"""
C:	"""so I decided to go out for cheerleading,"""
C:	so I did that.
C:	And how many years did you do that for?
C:	For three.
C:	You could do it from 9th grade 9th through 12th.
C:	And when did you start choir now?
C:	"""Oh,"""
C:	now I sing at my church choir.
C:	"""But,"""
C:	"""I only started doing that because the senior choir,"""
C:	"""so old and they needed some help and I said,"""
C:	"""you know,"""
C:	"""it says make a joyful noise so that’s what I do,"""
C:	I make a joyful noise.
C:	Tell me a little about the Lincoln High everyday life.
C:	"""Oh,"""
C:	it was something to aspire to.
C:	"""You knew,"""
C:	"""because it was all we had,"""
C:	"""you knew we had A Quinn Elementary,"""
C:	"""we had Williams Elementary,"""
C:	and we had Duval Elementary in those three sectors of the city.
C:	"""And you knew where high school would get you,"""
C:	you had to go to Lincoln.
C:	"""And it was ok because all of your family had gone to Lincoln,"""
C:	"""and you figured everybody behind you is going to go too,"""
C:	"""so everybody knew everybody,"""
C:	"""we were all connected,"""
C:	and it was like community there.
C:	"""So,"""
C:	"""you had a teacher in a classroom,"""
C:	and that teacher may be your Sunday school teacher on Sunday.
C:	"""So,"""
C:	"""you didn’t get far away from,"""
C:	"""you know,"""
C:	"""knowing your instructors,"""
C:	or them knowing you quite well.
C:	"""They knew your siblings before you,"""
C:	"""and after you left they caught some of your siblings after you,"""
C:	those that came through right after me.
C:	But it was-it was good.
C:	It was like family.
C:	Really.
C:	And how drastic was the change after 1969?
C:	"""Well,"""
C:	"""we thought that with integration,"""
C:	"""because we knew that we were using sub- materials,"""
C:	"""left over materials,"""
C:	different things like that.
C:	"""We knew we were,"""
C:	"""as you got older you start realizing some things,"""
C:	and you knew that it was not maybe—.
C:	Our chemistry lab had one microscope.
C:	"""I had not been over to GHS or uh Buchholz,"""
C:	so I don’t know what they had.
C:	But you knew it was better than maybe.
C:	"""But with what we had,"""
C:	they did they did an outstanding job.
C:	I know that because a lot of doctors and lawyers came out of Lincoln.
C:	Even with the sub-materials.
C:	And—what was the question?
C:	"""Oh,"""
C:	the change.
C:	Yes!
C:	"""So then we thought that integration would make it better,"""
C:	"""but it seems that we lost a lot more than we gained,"""
C:	"""and meaning we lost a community,"""
C:	"""we lost that connection,"""
C:	that my children don’t know about you know.
C:	"""I’m the last generation to know what,"""
C:	"""when we talk about Lincoln,"""
C:	"""or Mebane,"""
C:	"""or RJE in Starke,"""
C:	"""those schools,"""
C:	"""were the last generation to know what it meant to say,"""
C:	“I’m from Lincoln High School”.
C:	"""You know,"""
