Speaker	Sentence
S:	"""I guess I'll be taking notes just to know—like,"""
S:	"""for future questions to ask you,"""
S:	remembering names and such.
S:	did you grow up in Gainesville?
S:	"""Well,"""
S:	"""I grew up in the country,"""
S:	Kirkwood area.
S:	That’s where I grew up at.
S:	"""In the country,"""
S:	"""like,"""
S:	outside of Gainesville?
S:	"""Yeah,"""
S:	it was Kirkwood.
S:	Kirkwood?
S:	"""Yeah,"""
S:	that’s where I grew up at. I had the-you read that off some notes she had over there.
S:	Mmhm. Oh yeah right.
S:	"""Yeah,"""
S:	there was mention of your family in the book by Doctor Ortiz.
S:	I forgot to mention this before—my name is Brian Shea and I am interviewing Alvin Butler for the Samuel Proctor Oral History Program.
S:	"""So,"""
S:	so your family was from Kirkwood.
S:	"""Yeah my,"""
S:	"""yeah my mother and father,"""
S:	that’s where I grew up at.
S:	They had the home there three years before I was born.
S:	How-can you describe the house?
S:	"""Like,"""
S:	how many rooms did it have?
S:	"""Yeah,"""
S:	"""it had three bedrooms,"""
S:	"""and a bathroom,"""
S:	and a front and back porch.
S:	"""Your parents were farmers,"""
S:	or—?
S:	"""My dad farmed,"""
S:	yeah.
S:	Your mom was a housewife?
S:	"""Well she-she was out there on the farm,"""
S:	too.
S:	Did you have any brothers and sisters or-?
S:	"""One sister,"""
S:	one brother.
S:	"""Were you the oldest child,"""
S:	or—?
S:	"""Yeah,"""
S:	"""I’m the oldest one of them,"""
S:	mmhm.
S:	What are your brother’s and sister’s names?
S:	My sister’ name Inez.
S:	And my brother’ name David.
S:	How did your parents feel about having three kids?
S:	"""Did they want more,"""
S:	or—?
S:	I don’t know.
S:	I never talked about that.
S:	We never discussed that.
S:	Not around me no.
S:	"""Was that like not discussed because it was just not discussed,"""
S:	or—?
S:	"""I can’t answer that,"""
S:	I don’t know.
S:	"""All I know,"""
S:	was they didn’t they didn't talk about that.
S:	"""Because I was the oldest one,"""
S:	"""and my brother was the youngest,"""
S:	so there were three of us.
S:	"""Can you describe,"""
S:	"""like,"""
S:	what a typical day was in your house when you were little? What a typical day was like in your house?
S:	"""Mhm. Well,"""
S:	we always had plenty of food to eat.
S:	We were never hungry.
S:	My parents would feed people in the neighborhood that wasn’t as fortunate as we was.
S:	"""My daddy bought a brand-new car in '29. 29 Ford,"""
S:	Model A Ford.
S:	"""And one year,"""
S:	"""he bought- he had a tractor,"""
S:	too.
S:	He had his own tractor and mules.
S:	A couple of mules.
S:	He farmed.
S:	How many acres?
S:	Do you remember?
S:	"""Well,"""
S:	let’s see.
S:	He must’ve farmed about ten or fifteen acres.
S:	"""Or either twenty,"""
S:	or something like that I guess.
S:	"""He planted beans,"""
S:	"""cucumbers,"""
S:	"""romaine lettuce,"""
S:	"""eggplant,"""
S:	"""tomatoes,"""
S:	and corn.
S:	"""I think-I might have missed something,"""
S:	I don’t know.
S:	"""He plowed it with the mule,"""
S:	he mostly did.
S:	"""When I got old enough,"""
S:	I would-I learned to plow.
S:	Did your father like section off certain parts of the field for you and your brother to plow?
S:	Mhm.
S:	"""Like,"""
S:	"""you did carrots and cabbages and eggplants,"""
S:	and your brother did the lettuce?
S:	Or was it just whoever was there to work at the moment?
S:	"""Well sometimes,"""
S:	"""he would just,"""
S:	"""you know,"""
S:	hire somebody to help him gather it sometimes.
S:	He’d hire someone.
S:	"""We farmed there,"""
B:	by farming.
B:	"""And he was pretty well successful,"""
B:	"""because his- his farm looked better than most people’ in his neighborhood,"""
B:	"""and they would wonder what happened. And um,"""
B:	"""It was some secrets,"""
B:	so I don't- I don’t tell what his secret was. What happened
B:	"""We'd have a University of Florida professor come out and bring students out there and look at the farm,"""
B:	when I was a young boy.
B:	Mmhm.
B:	So it was a family secret as to why you guys did so well or-?
B:	"""Well,"""
B:	"""he- he did pretty good,"""
B:	"""because some things he did,"""
B:	"""he didn’t tell everybody what he was doing,"""
B:	so.
B:	"""I knew what it was,"""
B:	but I- I didn’t tell anyone either but I knew.
B:	So you guys had mules to plow?
B:	So you had mules to help you plow but what—
B:	We had mules.
B:	"""And I think some of them plows are still out there in the barn,"""
B:	I think.
B:	"""plows,"""
B:	"""and later on,"""
B:	we got the tractor.
B:	He had a tractor just to cultivate the ground.
B:	"""And later on,"""
B:	he bought a- bought a Oliver diesel tractor.
B:	It’s still out in the country on the farm.
B:	We have three tractors out there now.
B:	"""The Oliver will still run,"""
B:	but the hydraulics ain't working too good.
B:	"""But they're tractors,"""
B:	you know?
B:	"""Did you have any livestock out on the farm,"""
B:	or was it just agriculture?
B:	We had cattle.
B:	"""Where you grew up on the farm,"""
B:	did everyone know their neighbors or-?
B:	Did everyone know their neighbors?
B:	"""Or was it that you had neighbors,"""
B:	but you didn’t know who they were?
B:	It was like- did it have a sense of community?
B:	"""Mhm. Did they have what,"""
B:	now?
B:	A sense of community.
B:	"""Like,"""
B:	"""were you friends with your neighbors,"""
B:	or did you just not know who they are?
B:	You just—
B:	We knew everybody in the community during that time.
B:	"""During that time when I grew up,"""
B:	they had a school in this country.
B:	"""It was a country school when I first went to sixth grade,"""
B:	"""in Kirkwood,"""
B:	and it didn’t go higher.
B:	"""When I was seventh grade,"""
B:	we had to go to Micanopy to school.
B:	And my daddy bought me a bicycle I rode to Micanopy every morning.
B:	"""And it was the superintendent here finally,"""
B:	"""and the following year,"""
B:	I went towards the ninth grade.
B:	So I went on back up there in Kirkwood ‘til I completed ninth grade.
B:	"""That’s when I came to Lincoln High School,"""
B:	in tenth grade.
B:	"""And see,"""
B:	"""the school bus picked up the White children right in front of our house,"""
B:	our house right beside the highway.
B:	"""Right next to the highway,"""
B:	it’s there now.
B:	"""And,"""
B:	but we couldn’t ride the bus.
B:	Between seven and eight White children rode the bus every morning.
B:	We got to school best we could.
B:	"""And I say,"""
B:	about 85 or 90 percent of the kids that completed ninth grade didn’t go to high school because they couldn’t get to school.
B:	"""But I was fortunate enough they bought me a- I had bought a car when I was fourteen years old,"""
B:	"""and I drove to town,"""
B:	and five more children rode with me.
B:	"""When I went to high school,"""
B:	it wasn’t but four students had automobiles.
B:	"""Now,"""
B:	you can’t find anywhere to park on campus.
B:	And I think five of the teachers had cars.
B:	"""And the man running the funeral home,"""
B:	he and one of the students had a car.
B:	"""And the guy that live in the house down there,"""
B:	his father had a car— his father was just passed.
B:	"""And he’s buried in West Palm Beach,"""
B:	I think. []
B:	What kind of car did you get when you were fourteen?
B:	33 Plymouth.
B:	What color?
B:	"""33 blue Plymouth,"""
B:	mmhm.
B:	And you would take five other kids with you to school every day?
B:	Hm?
B:	Five kids with you every day to school?
B:	"""Yeah,"""
B:	we rode to school together.
B:	Gas was thirteen to nineteen cent a gallon.
B:	"""During the wartime,"""
B:	gasoline was rationed.
B:	"""And it wouldn’t work now,"""
B:	"""because you had to have a sticker on your car,"""
B:	an A coupon or B A sticker got only three gallon a week;
B:	"""and if you had a B,"""
B:	you get four gallons per car a week.
B:	"""And a C,"""
B:	"""like you doing commercial work—well see,"""
B:	my father farmed.
B:	He had books like this of C-stamps.
B:	"""Each stamp was five,"""
B:	you could purchase five gallons of gas with it.
B:	"""And a tractor would start on kerosene,"""
B:	and kerosene wasn’t rationed.
