Text	Multiple Negation
We didn't have; you know when you have teachers-qualified teachers-  like Math; English; and what not; you didn't; you had the people that graduated from High School and then they went on and start teaching.	0
Either you didn’t apply for a job or you left a job because your information network gave you information that helped you decide?	0
"And so we told them; we said; ""Look; either you roll with us or you're not coming."	0
I can't think of that captain's name; I really can't at this time.	0
I would have never envision it; when I first-like I said it was a small group of us that were you know; cohesive and trying to manage the university; and trying to get through.	0
Now; you’re not getting no spanking now.	1
I once- Hostile; I can’t say it was hostile you know anything hostile.	0
See; that’s what not so prevalent today.	0
I didn't go back; because I didn't like that kind of.	0
When I first started teaching; they didn't teach me how to come down to the students' level.	0
When you take her out somewhere; always run into somebody say; “Zelphia; oh; ain’t seen you in so long.	0
It wasn’t electric.	0
I didn’t know that you were a minister.	0
But she said she can’t go in there sitting behind the children and my church is a little more comfortable.	0
I’m not saying that other presidents have not had to encounter that but in his particular case he has a double whammy that he’s carrying.	0
There was not any white competition in that there was other black competition.	0
These round here; I don't think so.	0
And then we had administrators who basically were white administration or president who had no clue about racism or race relations.	0
And Hernandez as far as I know—I don’t know if the Hernandezes is still living or not.	0
My husband; I’m sure; would have moved; because he did not like the Delta.	0
They weren't going to be as radical; so to speak.	0
No you can't mess up anything.	0
not varying at any time;	0
When—Iremember; and I’m going to put on tape what my name was before that; it’snot like nobody’s looking for me or anything; but I just don’t put it downthere.	0
And he said; “You couldn’t?	0
I've been all up there over there but I ain't been nowhere in Florida.	1
But these children; if they get to schooling; they won't have to work in nobody's field.	1
"They put that on all of them, I never know what that means."	0
And she said; “That’s not a White girl; she’s a Black girl like you!	0
"At one point they spray-painted all kinds of; you know; I can't remember exactly what; but you know; ""Go Back Blacks” that kind of thing."	0
Yeah I didn't write anything.	0
Unless people give you—and say; look; you just go ahead andmake that decision because I’m not concerned about what our position shouldbe on what’s going on the Middle East right now; because we’re dealing withhow we’re going to eat every day.	0
I don't remember too much about it; but anyway we had to go to school there and then we had the hall  one of Jerkins schools and it was condemned; but then they turned it into a masonic hall.	0
Didn't have no radio home.	1
; not her niece or nephew.	0
"Came back in that same atmosphere: unfairness, and kind of feeling like you were not wanted."	0
She told me there was not going to be a meeting at her house.	0
I don't never want to see you like that.	1
we have not had good leadership.	0
You right; it doesn’t.	0
"Juanita, I didn’t know I had this one here."	0
But that wasn't nothing for me to think that he was doing that to me; because of the black or white thing.	1
But I would tell them to trust in God; be sure to trust in God; don’t never forget wherever you go to make sure that you put your trust in God and to do the Word .	1
Have there been; cause I hadn’t asked about this before; but have there been any tragedies; criminally or something like that that have occurred specifically in the church or the neighborhood that have made people much more security conscious?	0
"So, you have to call them by name, put your hand on them and say, “Charles, you know your momma didn't teach you that, that kind of thing. Play it off that way. Because force with force is a war. You don't want that."	0
Oh now that's one I can't ask because I didn't get around too much.	0
