	speaker	Text	Multiple Negation	Multiple Negators
0	F:	We didn't have; you know when you have teachers-qualified teachers-  like Math; English; and what not; you didn't; you had the people that graduated from High School and then they went on and start teaching.	0	0
1	F:	Either you didn’t apply for a job or you left a job because your information network gave you information that helped you decide?	0	0
2	F:	"""And so we told them; we said; """"Look; either you roll with us or you're not coming."""	0	0
3	F:	I can't think of that captain's name; I really can't at this time.	0	0
4	F:	I would have never envision it; when I first-like I said it was a small group of us that were you know; cohesive and trying to manage the university; and trying to get through.	0	0
5	F: %MN	Now; you’re not getting no spanking now.	1	1
6	F:	I once- Hostile; I can’t say it was hostile you know anything hostile.	0	0
7	F:	See; that’s what not so prevalent today.	0	0
8	F:	I didn't go back; because I didn't like that kind of.	0	0
9	F:	When I first started teaching; they didn't teach me how to come down to the students' level.	0	0
10	F:	When you take her out somewhere; always run into somebody say; “Zelphia; oh; ain’t seen you in so long.	0	0
11	F:	It wasn’t electric.	0	0
12	F:	I didn’t know that you were a minister.	0	0
13	F:	But she said she can’t go in there sitting behind the children and my church is a little more comfortable.	0	0
14	F:	I’m not saying that other presidents have not had to encounter that but in his particular case he has a double whammy that he’s carrying.	0	0
15	F:	There was not any white competition in that there was other black competition.	0	0
16	F:	These round here; I don't think so.	0	0
17	F:	And then we had administrators who basically were white administration or president who had no clue about racism or race relations.	0	0
18	F:	And Hernandez as far as I know—I don’t know if the Hernandezes is still living or not.	0	0
19	F:	My husband; I’m sure; would have moved; because he did not like the Delta.	0	0
20	F:	They weren't going to be as radical; so to speak.	0	0
21	F: %MN	No you can't mess up anything.	0	1
22	F:	not varying at any time;	0	0
23	F:	When—Iremember; and I’m going to put on tape what my name was before that; it’snot like nobody’s looking for me or anything; but I just don’t put it downthere.	0	0
24	F:	And he said; “You couldn’t?	0	0
25	F: %MN	I've been all up there over there but I ain't been nowhere in Florida.	1	1
26	F: %MN	But these children; if they get to schooling; they won't have to work in nobody's field.	1	1
27	F:	"""They put that on all of them, I never know what that means."""	0	0
28	F:	And she said; “That’s not a White girl; she’s a Black girl like you!	0	0
29	F:	"""At one point they spray-painted all kinds of; you know; I can't remember exactly what; but you know; """"Go Back Blacks” that kind of thing."""	0	0
30	F:	Yeah I didn't write anything.	0	0
31	F:	Unless people give you—and say; look; you just go ahead andmake that decision because I’m not concerned about what our position shouldbe on what’s going on the Middle East right now; because we’re dealing withhow we’re going to eat every day.	0	0
32	F:	I don't remember too much about it; but anyway we had to go to school there and then we had the hall  one of Jerkins schools and it was condemned; but then they turned it into a masonic hall.	0	0
33	F: %MN	Didn't have no radio home.	1	1
34	F:	; not her niece or nephew.	0	0
35	"""Came back in that same atmosphere:"	"""Came back in that same atmospherunfairness, and kind of feeling like you were not wanted."""	0	0
36	F:	She told me there was not going to be a meeting at her house.	0	0
37	F: %MN	I don't never want to see you like that.	1	1
38	F:	we have not had good leadership.	0	0
39	F:	You right; it doesn’t.	0	0
40	F:	"""Juanita, I didn’t know I had this one here."""	0	0
41	F: %MN	But that wasn't nothing for me to think that he was doing that to me; because of the black or white thing.	1	1
42	F: %MN	But I would tell them to trust in God; be sure to trust in God; don’t never forget wherever you go to make sure that you put your trust in God and to do the Word .	1	1
43	F:	Have there been; cause I hadn’t asked about this before; but have there been any tragedies; criminally or something like that that have occurred specifically in the church or the neighborhood that have made people much more security conscious?	0	0
44	F:	"""So, you have to call them by name, put your hand on them and say, “Charles, you know your momma didn't teach you that, that kind of thing. Play it off that way. Because force with force is a war. You don't want that."""	0	0
45	F:	Oh now that's one I can't ask because I didn't get around too much.	0	0
46	F: %MN	My daddy wouldn't whip you for nothing.	1	1
47	F:	I loved going to different programs but I never formally joined anything.	0	0
48	F:	"""I just don’t believe that students are still being rejected by faculty and other students, and refusing to work with them on any scale."""	0	0
49	F: %MN	We get through sell this; I am not going to work on nobody's field.	1	1
50	F: %MN	Okay now we coming down the hill up this way where _________ house wasn't none of them down there except the Guildcreases then the Burnietts.	1	1
51	F:	No; no; no; no.	0	0
52	F:	No; it wasn’t.	0	0
53	F:	"""Like if you talked to my kids """"my daddy never beat me;""""but """"I wish he had."""	0	0
54	F:	There was no outside; nobody felt like they were outside; even someone that was a cousin to somebody else’s cousin; you brought them in and it’s just always been family oriented.	0	0
55	F:	I thought it was excellent and as I told Angenette; my only regret is that some of the members that have gone on; that this wasn’t done then because they could have given more of the history of Macedonia than some of us now of this generation because they lived it day by day and they are missed because they are gone and not—we may find out later about some things that we should’ve known then and I’m glad that its happened now because the generations that will come after us; at least they will have that foundation.	0	0
56	F: %MN	And we stayed separated- I mean; I divorced her right after then because after she had me put in jail; I knew it wasn't gon be no more of that.	1	1
57	F:	I have a copy of it but we are not mentioned in there at all.	0	0
58	F:	We’re having a good time; and having a good time won’t make it for you; leave it.	0	0
59	F:	Other than that; I didn’t know the difference.	0	0
60	F:	Yeah; I mean it was- one time we had a guy; I can't remember exactly why this guy called us from the University of Central Florida; so we showed up down there with like eight brothers and scared the living daylights out of them down there.	0	0
61	F:	"""And that's why America—not America, the African American community rejoiced when Joe Louis won the Heavyweight Champion of the World, because here is—and maybe it wasn’t the right arena—but here is a man that showed that he was better."""	0	0
62	F:	And I appreciate it now; because I have never been in trouble.	0	0
63	F: %MN	I don't know nothing about that.	1	1
64	F:	I would find kids that didn't play football and start them early.	0	0
65	F:	So they called us and so now we're riding like fifty grand in our cars trying to hope that nobody saw us slide this money out.	0	0
66	F:	"""I don’t know which number, I don’t know whether she was number four or number —"""	0	0
67	F: %MN	No; wasn't no bicycles.	1	1
68	F:	"""It wasn't as bad; I mean, things over a period of time evolve."""	0	0
69	F: %MN	It happened because of the dude; somebody is going to die cause I'm not going to be able to communicate with nobody with a microphone.	1	1
70	F:	Oh man; just listen to your teacher ; and don't do anything that you  that your parents  wouldn't want you to do; just because this peer pressure thing is kind of rough on kids now; but just listen to your parents and follow the advice of your students  of your teachers.	0	0
71	F:	"""So the UF police would be like; """"Well we aren't coming” and the Gainesville police would be like; """"Well we are not coming either."""	0	0
72	F:	"""I’ve never interviewed two sisters at once to talk about issues in African -American history in Florida , so this is a first for me to do it this way."""	0	0
73	F:	Even if you didn't know the people; there are some nice people here.	0	0
74	F:	Every one of them told me; well; we are not taking married men.	0	0
75	F:	"""We had minor stuff, but nothing big."""	0	0
76	F:	"""She told me, “No, no. ”"""	0	0
77	F:	My grandmother was also from Taitai; GA and her husband I guess was from Taitai; GA I'm not sure.	0	0
78	F:	We haven’t really talked about him yet.	0	0
79	F: %MN	Wasn't nothing on that side but the railroad just like it is now until we got right over there and Missus Duck and her son Sonny Lee up there.	1	1
80	F: %MN	Nobody couldn't wait for me to get up and say because they were going to make fun of me.	1	1
81	F: %MN	I didn't want no more of that.	1	1
82	F:	All the way from my childhood; I didn't want to be around these kinds of things where there is all that raiding Monroe and stuff like that.	0	0
83	F:	So I mean I had no confusion over who to trust and who not to trust.	0	0
84	F:	"""They'd bring kids to my office, they had no discipline, none."""	0	0
85	F:	"""My mother didn’t allow us to be over there and over there, unsupervised and roaming."""	0	0
86	F:	I have no regrets about the time that I spent there and like I said; I was young at that particular time.	0	0
87	F:	Don’t stay in there.	0	0
88	F:	My very first teacher was Missus Warfield; and her husband was a county agent; so I knew him as well as I knew her; because later on when I got involved in 4-H; he carried—it was during segregation; and because I was a child who had interest in that; he would carried me in the car with the fellows to some of the contests; because the Caucasian agent did not believe in carrying black voyagers out of the county.	0	0
89	F:	Well; I don’t know Macedonia because we didn’t bring it to the church but we had another lady here who is Missus Edna Jackson.	0	0
90	F:	"""But here’s what happened, is I never went to school that the county bought."""	0	0
91	F:	That's not something –	0	0
92	F:	we was in Pentecost holiness and I wasn't allowed to smoke.	0	0
93	F: %MN	We didn’t have no tobacco.	1	1
94	F: %MN	"""I wasn’t no midwife , now."""	1	1
95	F:	But we didn’t go to court or anything but it was headed that way.	0	0
96	F:	Not in my arena.	0	0
97	F: %MN	"""""""You ain't got nothing at home you can do?"""	1	1
98	F: %MN	And I said; if I have to go through that; I don't want to play no more football.	1	1
99	F: %MN	But we didn’t have no ride.	1	1
