Text	Person/num. agreement
Because I mean if peoples in America; not only black people; is losing out because they are sitting down and letting other people getting ahead of them and that’s the reason we are getting behind.	1
They said because it was such a bad; back in the day; it was such a bad area.	0
"It's just that if you put me in this little hole and you say I can't do this, I can't do that, anything that made it appear as though you were equal or better, made the whole race feel like you’re somebody."	0
"Now , this is your actual Bachelor of Science, your Bachelor’s degree from Florida A&M."	0
I think we’ve always had a nursery here.	0
And were they also from the Gainesville area?	0
Do you have brothers and sisters?	0
You know; they didn't want to bring that up.	0
We have GED classes; parenting classes; we have a nursery on Sundays for the one’s that parent’s what to come and enjoy the service; there is a nursery available for them to bring their kids; and they can sit while they enjoying.	0
Second grade before I had to come out of school; go to work.	0
"And I was gone, and the other three girls she had."	0
Live over by Brooklyn Church.	0
I copied twenty five words a minute.	0
When that occurred; what reflections did you have on your career and being honored in that way?	0
Were you chopping; did you have the dagger; did you have corn?	0
Now;this is something I’ve grappled with for a long time; because what we callthe Ella Baker Model; in terms of grassroots leadership; I think .	0
I don't know whether she was or not; but she probably could have been.	0
Our organization kind of morphed into a group; it formed in 1984;called the New African People’s Organization.	0
So; we kinda like had to deal with it.	0
They was young.	1
Some of my professors’ daughters; three daughters; all three of them was teachers.	1
Seeing a black man in the White House and other people voting for him then you know it’s a chance for you.	0
What do they do now?	0
And so that’s why I’m here tonight.	0
Can you tell me about that; who was Missus Cealie and –	0
Did you guys kind of have a community it sounds like down in that area?	0
But I guess that was the way they was teaching us.	1
I’m going ask you this : how long did I work?	0
And I understand and talking to Claude that he would invite the guys even to his house.	0
And me and my daddy was in there; and I wanted a bicycle.	1
Yeah; we was able to go to school if we did have to walk to school.	1
"And they were like; ""Oh; it can't be that."	0
pardon me; thank you very much.	0
They would hitch themselves to us without anybody asking them to and mentor and coach us into where they felt we should be.	0
I went out on two funerals in two years and I didn't want to go to them two but that's my job.	0
It was located on Ray Street; not on Ray Street; a couple of blocks from our church and a couple of blocks from where I live and my mom would – all 3 of my two older brothers; she would walk us there 5 days a week and then when we – on Sundays; she was our teacher; here at Macedonia and the old Macedonia.	0
So I don’t know if that helpsexplain how the topic—	0
Did you coach the offense or the defense?	0
See my brothers; they was young.	1
I’m sure you’ve probably heard that on television and the commercials.	0
