	Speaker	Text	Person/num. agreement	personNumberAgreement
0	F:	As a matter of fact, my mom was born up at Speedville.	0	0
1	F:	As for them I don't really care for the chicken and so we have a good time.	0	0
2	F:	Okay, so you did know there was a war going on.	0	0
3	F:	And about the education how is it that you think that not having parents you know with a lot of education, as well as myself, that you're so successful as I can see	0	0
4	F:	What was that?	0	0
5	F:	[And how old is she?]	0	0
6	F:	but they're doing their best holding them down and communicating with those parents, trying to seek help but look like it's not paying off too well.	1	0
7	F:	At the time when this school was closed, the school system had just built some brand new buildings here, including a gym, but when they integrated the school and closed it for good– it was really closed twice.	0	0
8	F:	Do you almost feel like you were a little bit sheltered here?	0	0
9	F:	What was the thing that you liked most about going to school in Lakeland?	0	0
10	F:	His mother was fine, his sister was fine, she had difficulties too and it wasn't, 'Well, tomorrow we going to be studying Mesopotamia.	0	0
11	F:	You don't realize the things that you are saying is open ears to our enemy, giving them strength.	1	0
12	F:	So my mom told them I wasn't home.	0	0
13	F:	I said, 'I'll return this to your parents if your parents want it or if they want you to come back to school, your parents can come out here.'	0	0
14	F:	And, because he was there, that made it easy for his children to be able to get a decent education.	0	0
15	F:	[And he was a very small man.]	0	0
16	F:	[Do you have a personal definition of what leadership is, and if so what would that be?]	0	0
17	F:	[So, what does this Jerkins High School celebration and dedication of an historic marker mean to you?]	0	0
18	F:	And I remember that we had the pastor named Reverend Newman, and he was from White Springs, Florida.	0	0
19	F:	She was about six feet tall.	0	0
20	F:	I was sixteen when I graduated.	0	0
21	F:	Somebody was killed and it was very ugly, but because that had happened my mother had told me, she said, Well, you're real young.	0	0
22	F:	After five years on my sixth year I was taking honors English classes.	0	0
23	F:	But we were married from, let's see, from 63 to maybe 66.	0	0
24	F:	[Her maiden name was Nelson.]	0	0
25	F:	I done forgot when Tet was.	0	0
26	F:	[He was up.]	0	0
27	F:	"""If you didn't know where the phalanges were, and you said 'em wrong, he would say, Give me a lap."""""""""""	0	0
28	F: %PN	he say she just a friend too so, was she really just a friend?	0	1
29	F:	One restaurant was called Kelly's .	0	0
30	F:	[Well I would say to try to share my experiences with people, encourage them to, educate themselves.]	0	0
31	F:	It's business English, but we had things like good usage, good grammar and everything.	0	0
32	F: %PN	[They'd run groceries stores, but they was friendly, so we didn't whether they was in the Klan or not.]	1	1
33	F:	In those days it was segregation and it was all Black staff.	0	0
34	F:	And it was a place called Dak To .	0	0
35	F:	What were your duties at Shands before you were drafted?	0	0
36	F: %PN	My grandson is probably , he's thirty -something , and he don't know who all his kin people is .	1	1
37	F:	[The ability to influence others and our parents influenced us and they gave us what they receive from their parents.]	0	0
38	F:	[Okay, well thank you, Mr. Bishop!]	0	0
39	F:	It was challenging, at the time, I was thirty-three to thirty-four years old, or maybe thirty-two when I became the mayor, and the next closest guy in age on the council was in his late 50s, early 60s.	0	0
40	F:	Well, I tend to be on the optimistic side.	0	0
