Text	Person/num. agreement
And this was at Doc To, this was in 1967.	0
[I was her caretaker.]	0
What I would like to see is some of my old schoolmates but a lot of them died out you know, a lot of them.	0
Well, it was walking a straight line knowing that my boss had got a book on disciplinary action handbook of the University of Florida; tried to see what she could write me up.	0
I said—I’m sorry, I was thinking about when J.F. Kennedy got killed.	0
They were small; I probably did.	0
I'm sure there was some funds provided.	1
So I don’t remember seeing anybody that I was in Vietnam with.	0
[How are you feeling right now, seeing all these people and listening to the laughter?]	0
So I only seen my immediate family, like my grandmomma, my granddaddy, my mom , and probably my sister.	0
And the support that you got from your teachers was probably a big part of that, too.	0
It sounds like this place was a community, like more so than a school, even though it is a school, but it’s also part of the community.	0
I was just so happy to be back.	0
There was a two - story house there	0
One was in our church, Methodist Church.	0
My father told him he needed to be—he was very very good with his hands—he wanted him to go into industrial education: carpentry, cabinet making, shoe repair and that kind of thing.	0
[He had one child from his first marriage.]	0
That was nice.	0
I might've told you this, I told somebody 'cause I was pleased with it.	0
and I went there with the idea that I was going to study piano under a professors who had traveled and studied abroad with Arthur .	0
They didn’t care.	0
And man , this stuff go way back.	1
It could be that the difference which is being achieved is here from here to here.	0
When I was in college, we would come from FAMU and get off at the railroad track on a Greyhound bus.	0
But also didn’t put the talent in the red, so I had to manage that and I wish we gotten more people into the town hall meetings, to understand what all it take to do that.	0
I also finished my high school education, which I got my diploma through Jerkins.	0
Okay I didn’t have the opportunity of meeting my dad’s dad, but my grandfather which was my mother’s father I was raised up around him.	0
[Well, I was a football player, basketball player, and I ran track.]	0
We also wanted to learn about our history.	0
See I want you to do anything that you want to do to him. All I ask of you is leave breath in his body .”	0
[He seemed very, like he was in the wrong place.]	0
What was that day like?	0
[Most of my life, about six years I was away in South Carolina, but other than that, Perry.]	0
Pharmacist.	0
But there was things going on back the day when I got out, back in the 70s and 80s, that I couldn't handle a lot of things openly.	1
So you talked about your great times that you experienced in college, did you ever experience any hardships as a student athlete, like whether its racism or any other milestones?	0
[And he would also, sort of took care of her—her needs, taking her, driving her to the grocery store, doctors, or wherever she needs to go.]	0
I know in the early 1800s there were serious racial issues in North Florida and Gainesville and that really took shape in the University.	0
So, you got an opportunity to be in leadership roles and it just made you think, I can accomplish stuff because people around me was telling me.	1
I said, 'The areas of Business could be like area of transportation, area of Finance, area of Marketing, area of Accounting, Public Finance. Well you have to choose one.'	0
So we go up on this hill.	0
Who are your parents?	0
and then she cultivated it when I was in seventh, eighth, ninth, tenth, eleventh, and twelfth grades.	0
That was something I just had to pass in order to graduate, but then it became a functional part of my life not only from his encouragement, but from the negative stigma that was attached to African American men in Broward County that they cannot write.	0
We never had a combat consultation at night that was always day time.	0
